"ID","Name","Price","Stock","GST","Threshold"
"1","Wireless Mouse","499.99","9","18","20"
"2","Mechanical Keyboard","2499.5","65","18","15"
"3","USB-C Charger","899.0","200","12","30"
"4","Bluetooth Speaker","1599.75","9","18","10"
"5","Laptop Stand","799.99","87","12","15"
"6","External Hard Drive","5499.0","40","18","8"
"7","Webcam HD","2199.0","55","18","10"
"8","Gaming Headset","2999.99","70","18","12"
"9","Power Bank 20000mAh","1899.0","110","18","25"
"10","Smart Watch","4999.99","4","18","10"
"11","Portable SSD","7499.0","35","18","8"
"12","HDMI Cable","299.99","300","12","50"
"13","Wireless Earbuds","3499.0","65","18","15"
"14","Monitor 24 Inch","12499.0","28","18","5"
"15","Cooling Pad","999.0","85","12","15"
